真打 吉宗	2001	905	6,204	104.9%
真打 吉宗	2002	-999	1,577	78.9%
真打 吉宗	2003	-1,398	2,067	77.5%
真打 吉宗	2004	-394	733	82.1%
真打 吉宗	2005	-491	5,295	96.9%
真打 吉宗	2006	-4,799	4,206	62%
真打 吉宗	2007	-891	2,680	88.9%
真打 吉宗	2008	-705	2,884	91.9%
真打 吉宗	2009	110	489	107.5%
真打 吉宗	2010	6,631	6,299	135.1%
L無職転生～異世界行ったら本気だす～	2011	-3,189	6,576	83.8%
L無職転生～異世界行ったら本気だす～	2012	-598	3,643	94.5%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2013	1,307	4,151	110.5%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2014	0	3,741	100%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2015	-2,799	3,029	69.2%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2016	-995	3,528	90.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2017	607	4,513	104.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2018	3,196	2,443	143.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2019	0	5,368	100%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2020	-1,709	2,779	79.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2021	-1,904	4,114	84.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2022	0	1,433	100%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2023	-1,905	4,472	85.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2024	-893	4,615	93.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2025	-391	2,134	93.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2026	-1,499	1,816	72.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2027	7,523	3,956	163.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2028	8,507	3,237	187.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2029	3,314	4,004	127.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2030	1,801	3,693	116.3%
機種	台番	差枚	G数	出率
