真打 吉宗	2001	-2,793	2,292	59.4%
真打 吉宗	2002	399	6,702	102%
真打 吉宗	2003	-1,899	2,023	68.7%
真打 吉宗	2004	-3,495	4,337	73.1%
真打 吉宗	2005	-4,299	4,565	68.6%
真打 吉宗	2006	-2,597	1,979	56.3%
真打 吉宗	2007	-1,299	1,306	66.8%
真打 吉宗	2008	-3,609	3,866	68.9%
真打 吉宗	2009	-4,998	4,684	64.4%
真打 吉宗	2010	-1,994	2,383	72.1%
L無職転生～異世界行ったら本気だす～	2011	-3,686	3,775	67.5%
L無職転生～異世界行ったら本気だす～	2012	2,899	4,081	123.7%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2013	207	4,400	101.6%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2014	812	6,737	104%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2015	-3,193	5,045	78.9%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2016	-2,791	2,828	67.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2017	718	4,463	105.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2018	3,195	2,586	141.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2019	-97	4,139	99.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2020	-3,302	5,170	78.7%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2021	706	2,865	108.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2022	4,606	4,910	131.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2023	403	5,097	102.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2024	3,613	4,480	126.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2025	-3,301	4,088	73.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2026	5,803	3,862	150.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2027	1,509	3,221	115.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2028	705	5,463	104.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2029	-1,990	6,048	89%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2030	-1,594	3,225	83.5%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2031	0	4,371	100%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2032	-590	2,543	92.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2033	5,293	3,981	144.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2034	-1,496	1,595	68.7%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2035	4,499	4,309	134.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2036	-4,399	4,935	70.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2037	5,414	3,578	150.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2038	8,397	3,647	176.7%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2039	-396	5,235	97.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2040	-1,094	1,401	74%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2041	2,203	4,260	117.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2042	-492	5,787	97.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2043	-1,695	1,448	61%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2044	-2,193	2,353	68.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2045	712	4,669	105.1%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2046	-597	2,463	91.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2047	-3,801	5,371	76.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2048	-194	3,471	98.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2049	802	2,536	110.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2050	-95	4,201	99.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2051	2,716	2,290	139.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2052	3,504	4,086	128.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2053	2,397	4,017	119.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2054	-707	2,608	91%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2055	915	4,575	106.7%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2056	-1,292	5,574	92.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2057	-1,690	4,679	88%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2058	-2,709	3,240	72.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2059	-1,199	2,433	83.6%
Lスマスロ転生したらスライムだった件	2060	7,105	8,207	128.9%
機種	台番	差枚	G数	出率
Lスマスロ転生したらスライムだった件	2061	-895	4,919	93.9%
Lスマスロ転生したらスライムだった件	2062	902	6,186	104.9%
スマスロ ゴッドイーター リザレクション	2063	-2,393	2,466	67.7%
スマスロ ゴッドイーター リザレクション	2064	-2,303	2,754	72.1%
スマスロ ゴッドイーター リザレクション	2065	-1,796	3,705	83.8%
スマスロとある科学の超電磁砲2	2066	-897	2,641	88.7%
スマスロとある科学の超電磁砲2	2067	-790	7,309	96.4%
スマスロとある科学の超電磁砲2	2068	-391	4,148	96.9%
Lスマスロとある魔術の禁書目録	2069	-890	1,707	82.6%
Lスマスロとある魔術の禁書目録	2070	804	4,309	106.2%
Lスマスロとある魔術の禁書目録	2071	1,805	6,438	109.3%
Lスマスロとある魔術の禁書目録	2072	-292	3,405	97.1%
スロット ゾンビランドサガ	2073	-991	2,941	88.8%
スロット ゾンビランドサガ	2074	3,704	2,736	145.1%
いざ！番長	2075	2,203	2,717	127%
機種	台番	差枚	G数	出率
いざ！番長	2076	1,113	6,990	105.3%
スマスロ とある魔術の禁書目録2	2077	-4,698	8,158	80.8%
スマスロ とある魔術の禁書目録2	2078	-3,490	8,130	85.7%
スマスロ とある魔術の禁書目録2	2079	-6,486	8,644	75%
スマスロ とある魔術の禁書目録2	2080	3,697	8,754	114.1%
スマスロ とある魔術の禁書目録2	2081	-1,687	8,004	93%
スマスロ とある魔術の禁書目録2	2082	-4,595	9,259	83.5%
スマスロ とある魔術の禁書目録2	2083	-6,215	8,645	76%
スマスロ とある魔術の禁書目録2	2084	2,314	6,990	111%
スマスロ化物語	2085	-797	616	56.9%
スマスロ化物語	2086	-2,508	2,559	67.3%
スマスロ化物語	2087	-395	4,465	97.1%
スマスロ化物語	2088	-393	5,385	97.6%
スロット ソードアート・オンラインⅡ	2089	-7,096	8,798	73.1%
スロット ソードアート・オンラインⅡ	2090	5,486	9,389	119.5%
機種	台番	差枚	G数	出率
スロット ソードアート・オンラインⅡ	2091	-4,590	8,996	83%
スロット ソードアート・オンラインⅡ	2092	-3,490	7,175	83.8%
スロット ソードアート・オンラインⅡ	2093	-7,018	8,488	72.4%
スロット ソードアート・オンラインⅡ	2094	3,808	7,608	116.7%
スロット ソードアート・オンラインⅡ	2095	5,008	9,695	117.2%
スロット ソードアート・オンラインⅡ	2096	-5,404	9,459	81%
スロット ソードアート・オンラインⅡ	2097	703	8,391	102.8%
スロット ソードアート・オンラインⅡ	2098	2,119	7,440	109.5%
スロット ソードアート・オンラインⅡ	2099	-4,799	7,666	79.1%
Lソードアート・オンライン	2100	2,314	3,098	124.9%
Lソードアート・オンライン	2101	-2,598	4,193	79.3%
Lソードアート・オンライン	2102	-1,391	5,118	90.9%
Lソードアート・オンライン	2103	803	6,662	104%
Lソードアート・オンライン	2104	-691	1,472	84.4%
L戦国乙女４　戦乱に閃く炯眼の軍師	2105	2,103	6,448	110.9%
機種	台番	差枚	G数	出率
L戦国乙女４　戦乱に閃く炯眼の軍師	2106	-390	1,482	91.2%
L戦国乙女４　戦乱に閃く炯眼の軍師	2107	5,919	8,211	124%
L戦国乙女5 業火を穿つ宿焔の双刃	2108	-4,595	7,504	79.6%
L戦国乙女5 業火を穿つ宿焔の双刃	2109	10,405	8,866	139.1%
L戦国乙女5 業火を穿つ宿焔の双刃	2110	1,201	6,922	105.8%
L戦国乙女5 業火を穿つ宿焔の双刃	2111	-199	8,781	99.2%
L戦国乙女5 業火を穿つ宿焔の双刃	2112	4,409	6,224	123.6%
L戦国乙女5 業火を穿つ宿焔の双刃	2113	-1,798	7,029	91.5%
L戦国乙女5 業火を穿つ宿焔の双刃	2114	1,015	7,502	104.5%
L戦国乙女5 業火を穿つ宿焔の双刃	2115	5,002	8,167	120.4%
L戦国乙女5 業火を穿つ宿焔の双刃	2116	705	7,402	103.2%
L戦国乙女5 業火を穿つ宿焔の双刃	2117	3,005	7,853	112.8%
L戦国乙女5 業火を穿つ宿焔の双刃	2118	3,208	7,502	114.3%
L戦国乙女5 業火を穿つ宿焔の双刃	2119	-4,392	7,372	80.1%
L戦国乙女5 業火を穿つ宿焔の双刃	2120	-3,298	7,980	86.2%
機種	台番	差枚	G数	出率
L戦国乙女5 業火を穿つ宿焔の双刃	2121	619	7,528	102.7%
