真打 吉宗	2001	2,203	6,101	112%
真打 吉宗	2002	-899	1,425	79%
真打 吉宗	2003	-293	1,780	94.5%
真打 吉宗	2004	2,717	5,155	117.6%
真打 吉宗	2005	-91	720	95.8%
真打 吉宗	2006	-2,503	2,737	69.5%
真打 吉宗	2007	-498	536	69%
真打 吉宗	2008	1,409	5,193	109%
真打 吉宗	2009	-1,199	3,452	88.4%
真打 吉宗	2010	-1,992	4,717	85.9%
L無職転生～異世界行ったら本気だす～	2011	718	6,939	103.4%
L無職転生～異世界行ったら本気だす～	2012	-890	2,543	88.3%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2013	104	4,598	100.8%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2014	114	6,232	100.6%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2015	210	3,711	101.9%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2016	12,607	1,978	312.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2017	7,902	3,749	170.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2018	1,002	4,162	108%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2019	908	4,080	107.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2020	-1,705	4,738	88%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2021	408	4,126	103.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2022	-493	4,983	96.7%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2023	107	3,156	101.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2024	-1,708	3,924	85.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2025	-3,606	3,524	65.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2026	5,409	2,865	162.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2027	-1,491	5,706	91.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2028	-392	2,696	95.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2029	702	2,275	110.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2030	2,803	4,356	121.4%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2031	5,602	4,646	140.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2032	-2,392	3,180	74.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2033	-105	6,081	99.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2034	-2,802	3,580	73.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2035	-2,599	3,408	74.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2036	1,115	2,240	116.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2037	3,509	3,419	134.2%
