真打 吉宗	2001	-3,299	4,283	74.3%
真打 吉宗	2002	-2,190	2,496	70.8%
真打 吉宗	2003	-1,396	4,791	90.3%
真打 吉宗	2004	-696	2,707	91.4%
真打 吉宗	2005	3,112	5,123	120.2%
真打 吉宗	2006	-2,110	2,490	71.8%
真打 吉宗	2007	-1,990	4,589	85.5%
真打 吉宗	2008	-1,706	3,066	81.5%
真打 吉宗	2009	-1,398	1,989	76.6%
真打 吉宗	2010	-1,604	5,842	90.8%
L無職転生～異世界行ったら本気だす～	2011	-104	7,153	99.5%
L無職転生～異世界行ったら本気だす～	2012	10,210	8,601	139.6%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2013	4,306	6,221	123.1%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2014	10,027	6,527	151.2%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2015	1,912	6,892	109.2%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2016	6,224	3,298	162.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2017	5,800	4,688	141.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2018	5,489	4,652	139.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2019	1,507	5,898	108.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2020	1,309	3,899	111.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2021	-2,880	5,845	83.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2022	-2,708	3,613	75%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2023	1,518	5,033	110.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2024	2,119	2,540	127.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2025	0	5,071	100%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2026	-496	3,246	94.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2027	5,719	4,440	142.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2028	4,909	4,762	134.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2029	2,603	3,618	124%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2030	-4,096	5,032	72.9%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2031	-2,393	2,360	66.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2032	-1,392	3,885	88.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2033	-1,598	3,838	86.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2034	8,231	2,246	222.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2035	-2,992	4,787	79.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2036	-2,998	4,544	78%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2037	-499	4,339	96.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2038	2,205	3,703	119.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2039	9,229	3,406	190.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2040	-3,303	3,252	66.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2041	2,915	5,083	119.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2042	-798	3,755	92.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2043	2,200	3,917	118.7%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2044	-399	4,672	97.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2045	-1,997	3,469	80.8%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2046	-1,906	4,078	84.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2047	-2,990	4,579	78.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2048	0	2,971	100%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2049	-2,391	4,919	83.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2050	5,099	2,523	167.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2051	-992	4,955	93.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2052	-496	3,084	94.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2053	916	4,071	107.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2054	-1,990	4,877	86.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2055	1,814	4,310	114%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2056	-1,706	4,779	88.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2057	-2,503	3,974	79%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2058	-3,110	5,553	81.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2059	-1,297	3,580	87.9%
Lスマスロ転生したらスライムだった件	2060	-3,691	4,797	74.4%
機種	台番	差枚	G数	出率
Lスマスロ転生したらスライムだった件	2061	-2,107	3,505	80%
Lスマスロ転生したらスライムだった件	2062	1,601	3,732	114.3%
スマスロ ゴッドイーター リザレクション	2063	-4,291	3,001	52.3%
スマスロ ゴッドイーター リザレクション	2064	-2,194	4,148	82.4%
スマスロ ゴッドイーター リザレクション	2065	2,397	4,114	119.4%
スマスロとある科学の超電磁砲2	2066	1,699	5,491	110.3%
スマスロとある科学の超電磁砲2	2067	8,006	7,496	135.6%
スマスロとある科学の超電磁砲2	2068	-882	6,746	95.6%
Lスマスロとある魔術の禁書目録	2069	1,005	6,862	104.9%
Lスマスロとある魔術の禁書目録	2070	-3,495	5,693	79.5%
