真打 吉宗	2001	11,636	5,701	168%
真打 吉宗	2002	-2,501	2,362	64.7%
真打 吉宗	2003	-1,192	903	56%
真打 吉宗	2004	-2,704	4,097	78%
真打 吉宗	2005	-192	639	90%
真打 吉宗	2006	-1,499	1,120	55.4%
真打 吉宗	2007	1,513	2,057	124.5%
真打 吉宗	2008	-797	3,786	93%
真打 吉宗	2009	1,509	1,435	135.1%
真打 吉宗	2010	-1,797	2,250	73.4%
L無職転生～異世界行ったら本気だす～	2011	119	5,968	100.7%
L無職転生～異世界行ったら本気だす～	2012	0	562	100%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2013	-694	858	73%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2014	-392	2,399	94.6%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2015	604	3,401	105.9%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2016	808	2,457	111%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2017	410	1,174	111.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2018	-1,391	2,134	78.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2019	704	2,247	110.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2020	-687	5,237	95.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2021	-195	881	92.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2022	4,007	2,936	145.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2023	1,401	3,693	112.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2024	-394	1,836	92.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2025	6,316	4,013	152.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2026	-1,391	1,833	74.7%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2027	-1,197	2,573	84.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2028	702	3,127	107.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2029	-1,891	1,753	64%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2030	-1,792	5,440	89%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2031	-998	1,496	77.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2032	-2,103	2,671	73.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2033	-795	2,016	86.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2034	606	4,411	104.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2035	-91	835	96.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2036	-1,502	3,840	87%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2037	4,002	3,576	137.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2038	-697	3,861	94%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2039	-297	4,904	98%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2040	-2,710	4,365	79.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2041	-997	1,470	77.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2042	503	1,513	111.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2043	204	2,446	102.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2044	-1,393	1,950	76.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2045	-191	2,701	97.6%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2046	306	3,831	102.7%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2047	306	2,251	104.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2048	-697	1,146	79.7%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2049	1,201	3,703	110.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2050	-1,890	1,620	61.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2051	2,009	1,000	167%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2052	1,206	4,466	109%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2053	3,502	3,876	130.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2054	-1,798	1,895	68.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2055	3,003	4,278	123.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2056	807	3,511	107.7%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2057	-1,399	1,554	70%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2058	4,507	3,027	149.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2059	-1,694	2,168	74%
