真打 吉宗	2001	-2,508	5,692	85.3%
真打 吉宗	2002	5,100	6,391	126.6%
真打 吉宗	2003	3,119	5,331	119.5%
真打 吉宗	2004	2,698	6,023	114.9%
真打 吉宗	2005	-1,198	5,999	93.3%
真打 吉宗	2006	2,310	6,780	111.4%
真打 吉宗	2007	-197	6,218	98.9%
真打 吉宗	2008	-593	5,948	96.7%
真打 吉宗	2009	2,119	5,585	112.6%
真打 吉宗	2010	-1,195	6,443	93.8%
L無職転生～異世界行ったら本気だす～	2011	4,092	8,142	116.8%
L無職転生～異世界行ったら本気だす～	2012	-3,104	5,776	82.1%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2013	-1,599	3,146	83.1%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2014	-1,094	2,550	85.7%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2015	-2,503	2,462	66.1%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2016	3,409	3,674	130.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2017	-2,107	3,341	79%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2018	118	4,416	100.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2019	2,801	3,332	128%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2020	601	4,733	104.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2021	5,916	3,047	164.7%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2022	-310	4,206	97.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2023	5,030	3,221	152.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2024	5,726	2,898	165.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2025	1,601	3,712	114.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2026	-2,691	5,631	84.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2027	-3,298	4,668	76.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2028	-1,904	3,795	83.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2029	6,319	2,906	172.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2030	-1,797	3,562	83.2%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2031	-2,309	5,823	86.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2032	-496	3,414	95.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2033	-1,592	5,593	90.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2034	-898	3,904	92.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2035	-799	4,719	94.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2036	-3,491	4,367	73.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2037	-1,497	4,218	88.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2038	1,006	5,580	106%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2039	321	4,021	102.7%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2040	-3,387	4,406	74.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2041	-503	3,090	94.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2042	-4,898	6,037	73%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2043	4,714	4,148	137.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2044	-2,597	3,868	77.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2045	-1,798	4,587	86.9%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2046	-1,193	5,136	92.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2047	-2,510	4,355	80.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2048	-1,999	5,212	87.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2049	0	3,818	100%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2050	-1,303	5,237	91.7%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2051	-3,297	4,067	73%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2052	4,201	4,970	128.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2053	8,227	3,699	174.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2054	2,919	3,764	125.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2055	-491	5,085	96.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2056	1,909	4,423	114.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2057	3,010	4,828	120.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2058	-1,995	4,433	85%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2059	-2,992	5,261	81%
Lスマスロ転生したらスライムだった件	2060	-1,797	5,222	88.5%
機種	台番	差枚	G数	出率
Lスマスロ転生したらスライムだった件	2061	-2,881	4,537	78.8%
Lスマスロ転生したらスライムだった件	2062	-1,496	4,105	87.9%
スマスロ ゴッドイーター リザレクション	2063	-1,394	5,328	91.3%
スマスロ ゴッドイーター リザレクション	2064	7,505	4,563	154.8%
スマスロ ゴッドイーター リザレクション	2065	2,320	4,271	118.1%
スマスロとある科学の超電磁砲2	2066	-104	3,454	99%
スマスロとある科学の超電磁砲2	2067	-2,307	4,632	83.4%
スマスロとある科学の超電磁砲2	2068	-5,786	6,396	69.8%
Lスマスロとある魔術の禁書目録	2069	-3,792	5,234	75.9%
Lスマスロとある魔術の禁書目録	2070	1,207	7,158	105.6%
Lスマスロとある魔術の禁書目録	2071	-1,394	4,989	90.7%
Lスマスロとある魔術の禁書目録	2072	-2,799	4,941	81.1%
スロット ゾンビランドサガ	2073	-1,497	4,733	89.5%
スロット ゾンビランドサガ	2074	4,787	4,755	133.6%
いざ！番長	2075	12,524	8,544	148.9%
機種	台番	差枚	G数	出率
いざ！番長	2076	-597	7,078	97.2%
スマスロ とある魔術の禁書目録2	2077	3,509	8,587	113.6%
スマスロ とある魔術の禁書目録2	2078	3,395	9,500	111.9%
スマスロ とある魔術の禁書目録2	2079	-2,997	8,139	87.7%
スマスロ とある魔術の禁書目録2	2080	3,197	7,584	114.1%
スマスロ とある魔術の禁書目録2	2081	-3,594	8,329	85.6%
スマスロ とある魔術の禁書目録2	2082	-2,597	7,856	89%
スマスロ とある魔術の禁書目録2	2083	3,620	9,750	112.4%
スマスロ とある魔術の禁書目録2	2084	4,709	8,440	118.6%
スマスロ化物語	2085	4,805	7,834	120.4%
スマスロ化物語	2086	205	6,229	101.1%
スマスロ化物語	2087	-4,096	5,720	76.1%
スマスロ化物語	2088	-796	6,939	96.2%
スロット ソードアート・オンラインⅡ	2089	-1,685	8,763	93.6%
スロット ソードアート・オンラインⅡ	2090	-1,798	7,228	91.7%
