真打 吉宗	2001	4,701	5,989	126.2%
真打 吉宗	2002	2,309	5,968	112.9%
真打 吉宗	2003	-1,392	4,181	88.9%
真打 吉宗	2004	-1,703	5,437	89.6%
真打 吉宗	2005	907	3,622	108.3%
真打 吉宗	2006	-1,710	5,961	90.4%
真打 吉宗	2007	-888	6,386	95.4%
真打 吉宗	2008	402	4,992	102.7%
真打 吉宗	2009	-692	3,003	92.3%
真打 吉宗	2010	-898	4,448	93.3%
L無職転生～異世界行ったら本気だす～	2011	9,601	5,998	153.4%
L無職転生～異世界行ったら本気だす～	2012	-90	5,971	99.5%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2013	5,009	5,717	129.2%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2014	-2,507	7,008	88.1%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2015	1,714	3,788	115.1%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2016	3,307	2,836	138.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2017	1,209	4,693	108.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2018	-792	4,361	93.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2019	4,403	3,240	145.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2020	-2,510	6,324	86.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2021	-594	4,768	95.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2022	-898	5,998	95%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2023	1,520	3,061	116.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2024	-1,992	4,772	86.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2025	-2,803	5,659	83.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2026	1,906	5,646	111.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2027	-1,996	5,561	88%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2028	7,809	3,824	168.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2029	-991	3,972	91.7%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2030	5,997	3,804	152.5%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2031	710	3,190	107.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2032	-192	3,497	98.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2033	1,201	5,256	107.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2034	-5,505	6,805	73%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2035	-990	4,187	92.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2036	-191	4,650	98.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2037	-592	3,791	94.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2038	-596	3,569	94.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2039	3,118	5,148	120.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2040	1,701	4,490	112.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2041	-595	2,923	93.2%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2042	-591	3,172	93.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2043	-2,305	5,702	86.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2044	-2,801	3,510	73.4%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2045	-991	4,871	93.2%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2046	-2,510	4,526	81.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2047	5,606	3,791	149.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2048	1,708	5,354	110.6%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2049	0	3,960	100%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2050	-1,099	5,967	93.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2051	-2,104	4,399	84.1%
