真打 吉宗	2001	106	1,079	103.3%
真打 吉宗	2002	514	5,415	103.2%
真打 吉宗	2003	-1,096	1,452	74.8%
真打 吉宗	2004	-3,190	3,292	67.7%
真打 吉宗	2005	-2,502	5,148	83.8%
真打 吉宗	2006	-3,898	5,696	77.2%
真打 吉宗	2007	206	5,698	101.2%
真打 吉宗	2008	-91	1,825	98.3%
真打 吉宗	2009	-1,195	2,212	82%
真打 吉宗	2010	101	3,466	101%
L無職転生～異世界行ったら本気だす～	2011	-2,192	2,936	75.1%
L無職転生～異世界行ったら本気だす～	2012	-997	4,324	92.3%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2013	-2,502	2,359	64.6%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2014	-497	1,929	91.4%
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。	2015	-497	3,743	95.6%
機種	台番	差枚	G数	出率
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2016	-1,790	2,323	74.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2017	-902	3,727	91.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2018	-2,107	3,097	77.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2019	-3,596	6,090	80.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2020	-4,494	6,369	76.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2021	5,408	1,692	206.5%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2022	8,508	1,510	287.8%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2023	521	3,563	104.9%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2024	-1,702	4,834	88.3%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2025	-896	5,101	94.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2026	1,206	2,855	114.1%
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝	2027	-1,690	2,252	75%
